Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch,0.44,0.42,0.11,0.0,0.0,0.0,0.0,0.02,Beth Lauritis,,AAH-1010,2014
AAH,2050,001,Art History and Theo,0.86,0.11,0.0,0.0,0.0,0.0,0.0,0.04,Beth Lauritis,,AAH-2050,2014
AAH,2100,400,Intro to Art and Arc,0.23,0.42,0.12,0.12,0.08,0.0,0.0,0.04,Lydia Dorsey,,AAH-2100,2014
AAH,2100,401,Intro to Art and Arc,0.45,0.34,0.14,0.07,0.0,0.0,0.0,0.0,Lydia Dorsey,,AAH-2100,2014
AAH,2100,402,Intro to Art and Arc,0.28,0.4,0.16,0.08,0.0,0.0,0.0,0.08,Lydia Dorsey,,AAH-2100,2014
AAH,2100,403,Intro to Art and Arc,0.39,0.43,0.0,0.04,0.07,0.0,0.0,0.07,Lydia Dorsey,,AAH-2100,2014
AAH,3050,001,Contemporary Art His,0.6,0.2,0.13,0.0,0.0,0.0,0.0,0.07,Andrea Feeser,,AAH-3050,2014
ACCT,2010,001,Financial Accounting,0.04,0.22,0.3,0.02,0.15,0.0,0.0,0.26,Philip Maiberger,,ACCT-2010,2014
ACCT,2010,002,Financial Accounting,0.13,0.3,0.28,0.09,0.04,0.0,0.0,0.17,Philip Maiberger,,ACCT-2010,2014
ACCT,2010,003,Financial Accounting,0.19,0.22,0.22,0.08,0.1,0.0,0.0,0.18,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,004,Financial Accounting,0.3,0.3,0.2,0.05,0.07,0.0,0.0,0.09,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,005,Fin Acct Concepts (H,0.63,0.37,0.0,0.0,0.0,0.0,0.0,0.0,The Guffey,True,ACCT-2010,2014
ACCT,2010,006,Financial Accounting,0.24,0.33,0.24,0.07,0.05,0.0,0.0,0.07,Annieka Philo,,ACCT-2010,2014
ACCT,2010,007,Financial Accounting,0.24,0.27,0.11,0.08,0.16,0.0,0.0,0.14,Lydia Schleifer,,ACCT-2010,2014
ACCT,2010,008,Financial Accounting,0.24,0.33,0.14,0.04,0.1,0.0,0.0,0.14,Lydia Schleifer,,ACCT-2010,2014
ACCT,2010,009,Financial Accounting,0.12,0.34,0.24,0.07,0.1,0.0,0.0,0.12,Annieka Philo,,ACCT-2010,2014
ACCT,2010,010,Financial Accounting,0.26,0.13,0.26,0.08,0.05,0.0,0.0,0.23,Lydia Schleifer,,ACCT-2010,2014
ACCT,2010,011,Financial Accounting,0.2,0.18,0.25,0.15,0.05,0.0,0.0,0.18,James Kohlmeyer,,ACCT-2010,2014
ACCT,2010,012,Financial Accounting,0.27,0.24,0.27,0.12,0.02,0.0,0.0,0.07,James Kohlmeyer,,ACCT-2010,2014
ACCT,2010,013,Financial Accounting,0.19,0.43,0.16,0.1,0.03,0.0,0.0,0.09,The Guffey,,ACCT-2010,2014
ACCT,2010,014,Financial Accounting,0.09,0.31,0.2,0.13,0.09,0.0,0.0,0.19,Jeffrey McMillan,,ACCT-2010,2014
ACCT,2010,015,Financial Accounting,0.03,0.28,0.23,0.15,0.17,0.0,0.0,0.13,James Kohlmeyer,,ACCT-2010,2014
ACCT,2020,001,Managerial Accountin,0.18,0.31,0.2,0.06,0.08,0.0,0.0,0.18,Henry Anderson,,ACCT-2020,2014
ACCT,2020,002,Managerial Accountin,0.23,0.28,0.19,0.04,0.09,0.0,0.0,0.17,Henry Anderson,,ACCT-2020,2014
ACCT,2020,003,Managerial Accountin,0.17,0.37,0.25,0.1,0.06,0.0,0.0,0.06,Annieka Philo,,ACCT-2020,2014
ACCT,2020,004,Managerial Accountin,0.24,0.27,0.25,0.12,0.08,0.0,0.0,0.04,Annieka Philo,,ACCT-2020,2014
ACCT,2020,006,Managerial Accountin,0.57,0.22,0.14,0.0,0.02,0.0,0.0,0.06,Sarah Martin,,ACCT-2020,2014
ACCT,2020,007,Managerial Accountin,0.14,0.21,0.31,0.03,0.12,0.0,0.0,0.21,Henry Anderson,,ACCT-2020,2014
ACCT,2020,008,Managerial Accountin,0.67,0.27,0.0,0.0,0.0,0.0,0.0,0.07,Sarah Martin,,ACCT-2020,2014
ACCT,2040,001,Accounting Procedure,0.53,0.25,0.08,0.02,0.02,0.0,0.0,0.11,Jeffrey McMillan,,ACCT-2040,2014
