Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.49,0.38,0.11,0.0,0.01,0.0,0.0,0.01,Beth Lauritis,,AAH-1020,2014
AAH,2060,001,Art History and Theory II,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-2060,2014
AAH,2100,001,Intro to Art and Architecture,0.46,0.27,0.19,0.0,0.0,0.0,0.0,0.08,Janet Leblanc,,AAH-2100,2014
AAH,2100,002,Intro to Art and Architecture,0.39,0.32,0.21,0.07,0.0,0.0,0.0,0.0,Janet Leblanc,,AAH-2100,2014
AAH,2100,003,Intro to Art and Architecture,0.33,0.22,0.22,0.07,0.0,0.0,0.0,0.15,Janet Leblanc,,AAH-2100,2014
AAH,2100,004,Intro to Art and Architecture,0.24,0.38,0.21,0.03,0.0,0.0,0.0,0.14,Janet Leblanc,,AAH-2100,2014
ACCT,2010,001,Financial Accounting Concepts,0.14,0.32,0.26,0.08,0.08,0.0,0.0,0.12,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,002,Financial Accounting Concepts,0.08,0.25,0.35,0.15,0.1,0.0,0.0,0.08,Henry Anderson,,ACCT-2010,2014
ACCT,2010,003,Financial Accounting Concepts,0.15,0.24,0.33,0.11,0.02,0.0,0.0,0.15,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,004,Financial Accounting Concepts,0.2,0.34,0.18,0.09,0.05,0.0,0.0,0.14,The Guffey,,ACCT-2010,2014
ACCT,2010,005,Financial Accounting Concepts,0.09,0.26,0.33,0.02,0.16,0.0,0.0,0.14,Henry Anderson,,ACCT-2010,2014
ACCT,2010,006,Financial Accounting Concepts,0.17,0.26,0.28,0.09,0.11,0.0,0.0,0.11,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,007,Financial Accounting Concepts,0.23,0.23,0.32,0.11,0.04,0.0,0.0,0.06,Suzanne Pearse,,ACCT-2010,2014
ACCT,2010,008,Financial Accounting Concepts,0.11,0.24,0.2,0.04,0.2,0.0,0.0,0.2,Henry Anderson,,ACCT-2010,2014
ACCT,2010,009,Financial Accounting Concepts,0.07,0.34,0.23,0.14,0.07,0.0,0.0,0.16,The Guffey,,ACCT-2010,2014
ACCT,2010,010,Financial Accounting Concepts,0.13,0.38,0.18,0.11,0.04,0.0,0.0,0.16,The Guffey,,ACCT-2010,2014
ACCT,2010,011,Financial Accounting Concepts,0.12,0.27,0.29,0.11,0.09,0.0,0.0,0.12,Jeffrey McMillan,,ACCT-2010,2014
ACCT,2020,001,Managerial Accounting Concepts,0.25,0.4,0.17,0.1,0.06,0.0,0.0,0.02,Annieka Philo,,ACCT-2020,2014
ACCT,2020,002,Managerial Accounting Concepts,0.29,0.38,0.25,0.04,0.02,0.0,0.0,0.02,Annieka Philo,,ACCT-2020,2014
ACCT,2020,003,Managerial Accounting Concepts,0.23,0.29,0.31,0.06,0.08,0.0,0.0,0.02,Annieka Philo,,ACCT-2020,2014
ACCT,2020,004,Managerial Accounting Concepts,0.31,0.37,0.14,0.1,0.08,0.0,0.0,0.0,Annieka Philo,,ACCT-2020,2014
ACCT,2020,005,Managerial Accounting Concepts,0.27,0.29,0.16,0.02,0.03,0.0,0.0,0.23,Henry Anderson,,ACCT-2020,2014
ACCT,2020,006,Managerial Accounting Concepts,0.18,0.19,0.19,0.09,0.05,0.0,0.0,0.3,Henry Anderson,,ACCT-2020,2014
ACCT,2040,001,ACCT 2040: 001,0.53,0.29,0.08,0.03,0.06,0.0,0.0,0.01,Jeffrey McMillan,,ACCT-2040,2014
ACCT,2040,002,ACCT 2040: 002,0.37,0.36,0.11,0.04,0.06,0.0,0.0,0.07,Jeffrey McMillan,,ACCT-2040,2014
ACCT,3030,001,Cost Accounting,0.26,0.37,0.2,0.03,0.06,0.0,0.0,0.09,Derek Dalton,,ACCT-3030,2014
ACCT,3030,002,Cost Accounting,0.17,0.4,0.31,0.11,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-3030,2014
ACCT,3030,003,Cost Accounting,0.18,0.63,0.05,0.03,0.08,0.0,0.0,0.03,Robin Radtke,,ACCT-3030,2014
ACCT,3030,004,Cost Accounting,0.31,0.49,0.1,0.03,0.08,0.0,0.0,0.0,Robin Radtke,,ACCT-3030,2014
ACCT,3110,001,Intermed Financial Acct I,0.22,0.41,0.3,0.07,0.0,0.0,0.0,0.0,Terry Knause,,ACCT-3110,2014
ACCT,3110,002,Intermed Financial Acct I,0.52,0.36,0.07,0.02,0.02,0.0,0.0,0.0,Terry Knause,,ACCT-3110,2014
ACCT,3110,003,Intermed Financial Acct I,0.55,0.24,0.19,0.0,0.0,0.0,0.0,0.02,Terry Knause,,ACCT-3110,2014
ACCT,3110,004,Intermed Financial Acct I,0.59,0.24,0.1,0.0,0.02,0.0,0.0,0.05,Terry Knause,,ACCT-3110,2014
ACCT,3120,001,Intermed Financial Acct II,0.18,0.54,0.15,0.1,0.03,0.0,0.0,0.0,J Madray,,ACCT-3120,2014
ACCT,3120,002,Intermed Financial Acct II,0.3,0.46,0.19,0.03,0.0,0.0,0.0,0.03,J Madray,,ACCT-3120,2014
ACCT,3120,003,Intermed Financial Acct II,0.15,0.21,0.36,0.06,0.0,0.0,0.0,0.21,Lydia Schleifer,,ACCT-3120,2014
ACCT,3120,004,Intermed Financial Acct II,0.15,0.36,0.3,0.0,0.12,0.0,0.0,0.06,Lydia Schleifer,,ACCT-3120,2014
ACCT,3130,001,Intermed Financial Acct III,0.17,0.46,0.23,0.11,0.0,0.0,0.0,0.03,J Madray,,ACCT-3130,2014
ACCT,3130,002,Intermed Financial Acct III,0.51,0.22,0.22,0.03,0.03,0.0,0.0,0.0,J Madray,,ACCT-3130,2014
ACCT,3130,003,Intermed Financial Acct III,0.33,0.19,0.37,0.07,0.04,0.0,0.0,0.0,James Irving,,ACCT-3130,2014
ACCT,3130,004,Intermed Financial Acct III,0.17,0.5,0.33,0.0,0.0,0.0,0.0,0.0,James Irving,,ACCT-3130,2014
ACCT,3220,001,Accounting Information Systems,0.03,0.47,0.26,0.12,0.06,0.0,0.0,0.06,Philip Maiberger,,ACCT-3220,2014
ACCT,3220,002,Accounting Information Systems,0.16,0.26,0.35,0.13,0.06,0.0,0.0,0.03,Philip Maiberger,,ACCT-3220,2014
ACCT,3220,003,Accounting Information Systems,0.25,0.33,0.25,0.08,0.03,0.0,0.0,0.06,Nancy Harp,,ACCT-3220,2014
ACCT,4040,001,Individual Taxation,0.3,0.45,0.2,0.05,0.0,0.0,0.0,0.0,John Hine,,ACCT-4040,2014
