Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.41,0.41,0.13,0.02,0.01,0.0,0.0,0.03,Andrea Feeser,,AAH-1020,2017
AAH,2060,001,Art History and Theory II,0.89,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-2060,2017
ACCT,2010,001,Financial Accounting Concepts,0.42,0.2,0.13,0.05,0.12,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,002,Financial Accounting Concepts,0.4,0.25,0.22,0.05,0.07,0.0,0.0,0.02,Annieka Philo,,ACCT-2010,2017
ACCT,2010,003,Financial Accounting Concepts,0.2,0.41,0.2,0.14,0.0,0.0,0.0,0.06,Philip Maiberger,,ACCT-2010,2017
ACCT,2010,004,Financial Accounting Concepts,0.35,0.22,0.27,0.07,0.1,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2017
ACCT,2010,005,Financial Accounting Concepts,0.38,0.2,0.15,0.07,0.08,0.0,0.0,0.12,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,006,Financial Accounting Concepts,0.45,0.25,0.08,0.05,0.08,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,007,Financial Accounting Concepts,0.27,0.13,0.23,0.07,0.13,0.0,0.0,0.18,Mary Prater,,ACCT-2010,2017
ACCT,2010,008,Financial Accounting Concepts,0.41,0.24,0.21,0.1,0.02,0.0,0.0,0.02,Annieka Philo,,ACCT-2010,2017
ACCT,2010,009,Financial Accounting Concepts,0.11,0.29,0.2,0.09,0.09,0.0,0.0,0.23,Mary Prater,,ACCT-2010,2017
ACCT,2010,010,Financial Accounting Concepts,0.59,0.29,0.05,0.02,0.02,0.0,0.0,0.03,Charles Tegen,,ACCT-2010,2017
ACCT,2010,101,Fin Acct Concepts (HON),0.76,0.12,0.0,0.0,0.0,0.0,0.0,0.12,Mary Prater,True,ACCT-2010,2017
ACCT,2010,401,Financial Accounting Concepts,0.28,0.45,0.14,0.03,0.06,0.0,0.0,0.03,Jeffrey McMillan,,ACCT-2010,2017
ACCT,2010,402,Financial Accounting Concepts,0.21,0.5,0.13,0.05,0.09,0.0,0.0,0.02,Jeffrey McMillan,,ACCT-2010,2017
ACCT,2020,001,Managerial Accounting Concepts,0.09,0.37,0.3,0.09,0.04,0.0,0.0,0.11,Henry Anderson,,ACCT-2020,2017
ACCT,2020,002,Managerial Accounting Concepts,0.11,0.33,0.29,0.03,0.07,0.0,0.0,0.17,Henry Anderson,,ACCT-2020,2017
ACCT,2020,003,Managerial Accounting Concepts,0.25,0.23,0.3,0.08,0.03,0.0,0.0,0.13,Henry Anderson,,ACCT-2020,2017
ACCT,2020,004,Managerial Accounting Concepts,0.15,0.32,0.29,0.06,0.1,0.0,0.0,0.08,Emily McCorkle,,ACCT-2020,2017
ACCT,2020,005,Managerial Accounting Concepts,0.46,0.34,0.13,0.04,0.01,0.0,0.0,0.01,Emily McCorkle,,ACCT-2020,2017
ACCT,2020,401,Managerial Accounting Concepts,0.11,0.32,0.16,0.1,0.08,0.0,0.0,0.23,Henry Anderson,,ACCT-2020,2017
ACCT,3030,001,Cost Accounting,0.4,0.29,0.2,0.02,0.04,0.0,0.0,0.04,Jace Garrett,,ACCT-3030,2017
ACCT,3030,002,Cost Accounting,0.2,0.39,0.31,0.04,0.0,0.0,0.0,0.06,Jace Garrett,,ACCT-3030,2017
ACCT,3030,003,Cost Accounting,0.24,0.32,0.24,0.04,0.06,0.0,0.0,0.1,Rebecca Trax,,ACCT-3030,2017
ACCT,3030,004,Cost Accounting,0.18,0.29,0.29,0.04,0.07,0.0,0.0,0.14,Rebecca Trax,,ACCT-3030,2017
ACCT,3110,001,Intermediate Financial Acct I,0.22,0.29,0.24,0.09,0.09,0.0,0.0,0.07,Terry Knause,,ACCT-3110,2017
ACCT,3110,002,Intermediate Financial Acct I,0.3,0.34,0.18,0.08,0.04,0.0,0.0,0.06,Terry Knause,,ACCT-3110,2017
ACCT,3110,003,Intermediate Financial Acct I,0.34,0.42,0.14,0.08,0.0,0.0,0.0,0.02,Terry Knause,,ACCT-3110,2017
ACCT,3110,004,Intermediate Financial Acct I,0.2,0.36,0.24,0.1,0.04,0.0,0.0,0.06,Terry Knause,,ACCT-3110,2017
ACCT,3110,401,Intermediate Financial Acct I,0.16,0.22,0.22,0.09,0.13,0.0,0.0,0.19,Henry Anderson,,ACCT-3110,2017
ACCT,3120,001,Intermediate Financial Acct II,0.09,0.34,0.39,0.09,0.07,0.0,0.0,0.02,The Guffey,,ACCT-3120,2017
ACCT,3120,002,Intermediate Financial Acct II,0.27,0.24,0.35,0.05,0.03,0.0,0.0,0.05,The Guffey,,ACCT-3120,2017
ACCT,3120,003,Intermediate Financial Acct II,0.07,0.3,0.34,0.09,0.14,0.0,0.0,0.07,Brian Carver,,ACCT-3120,2017
ACCT,3120,004,Intermediate Financial Acct II,0.07,0.27,0.4,0.2,0.0,0.0,0.0,0.07,Brian Carver,,ACCT-3120,2017
ACCT,3120,005,Intermediate Financial Acct II,0.23,0.42,0.19,0.07,0.0,0.0,0.0,0.09,Jeremy Vinson,,ACCT-3120,2017
ACCT,3130,001,Intermediate Fin Acct III,0.15,0.35,0.45,0.0,0.05,0.0,0.0,0.0,J Madray,,ACCT-3130,2017
ACCT,3130,002,Intermediate Fin Acct III,0.35,0.38,0.25,0.02,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2017
ACCT,3130,003,Intermediate Fin Acct III,0.26,0.54,0.18,0.0,0.03,0.0,0.0,0.0,J Madray,,ACCT-3130,2017
ACCT,3130,004,Intermediate Fin Acct III,0.32,0.46,0.22,0.0,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2017
ACCT,3220,001,Accounting Information Systems,0.27,0.36,0.21,0.03,0.03,0.0,0.0,0.09,Philip Maiberger,,ACCT-3220,2017
ACCT,3220,002,Accounting Information Systems,0.38,0.35,0.09,0.03,0.0,0.0,0.0,0.15,Philip Maiberger,,ACCT-3220,2017
ACCT,3220,003,Accounting Information Systems,0.19,0.34,0.34,0.03,0.0,0.0,0.0,0.09,Philip Maiberger,,ACCT-3220,2017
ACCT,4040,001,Individual Taxation,0.61,0.2,0.18,0.0,0.02,0.0,0.0,0.0,Sarah Martin,,ACCT-4040,2017
ACCT,4040,002,Individual Taxation,0.61,0.18,0.14,0.05,0.02,0.0,0.0,0.0,Sarah Martin,,ACCT-4040,2017
ACCT,4100,001,Reporting and Mgmt Control Sys,0.23,0.67,0.1,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-4100,2017
ACCT,4100,002,Reporting and Mgmt Control Sys,0.15,0.49,0.31,0.03,0.03,0.0,0.0,0.0,Robin Radtke,,ACCT-4100,2017
ACCT,4150,001,Auditing,0.24,0.43,0.29,0.01,0.01,0.0,0.0,0.01,Carl Hollingsworth,,ACCT-4150,2017
ACCT,8520,001,Fin Acct Theory/Res,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2017
ACCT,8520,002,Fin Acct Theory/Res,0.47,0.45,0.08,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2017
ACCT,8540,001,Prof Responsibility,0.42,0.58,0.0,0.0,0.0,0.0,0.0,0.0,Suzanne Pearse,,ACCT-8540,2017
ACCT,8540,002,Prof Responsibility,0.43,0.54,0.03,0.0,0.0,0.0,0.0,0.0,Suzanne Pearse,,ACCT-8540,2017
ACCT,8540,003,Prof Responsibility,0.54,0.46,0.0,0.0,0.0,0.0,0.0,0.0,Suzanne Pearse,,ACCT-8540,2017
ACCT,8620,001,Financial Auditing,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-8620,2017
ACCT,8620,002,Financial Auditing,0.37,0.63,0.0,0.0,0.0,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-8620,2017
ACCT,8710,001,Corporate Taxation,0.33,0.62,0.05,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2017
ACCT,8710,002,Corporate Taxation,0.2,0.68,0.13,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2017
ACCT,8710,003,Corporate Taxation,0.24,0.59,0.18,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2017
ACCT,8730,001,Intl/Spec Tax Topic,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,Kath Kisska-Schulze,,ACCT-8730,2017
ACCT,8740,001,Tax Aspects of Finan Planning,0.31,0.63,0.06,0.0,0.0,0.0,0.0,0.0,Judson Jahn,,ACCT-8740,2017
AGED,1000,001,Orientation & Field Experience,0.67,0.26,0.0,0.04,0.0,0.0,0.0,0.04,Philip Fravel,,AGED-1000,2017
AGED,2030,001,Teaching Agriscience,0.5,0.36,0.14,0.0,0.0,0.0,0.0,0.0,Catheri DiBenedetto,,AGED-2030,2017
AGED,4150,001,Leadership of Vol,0.83,0.08,0.04,0.0,0.0,0.0,0.0,0.04,Kevin Layfield,,AGED-4150,2017
AGED,4160,001,Ethics and Issues,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,W Player,,AGED-4160,2017
AGM,2050,001,Prin of Fabrication,0.27,0.38,0.25,0.05,0.04,0.0,0.0,0.02,Hunter Massey,,AGM-2050,2017
AGM,2060,001,Machinery Mgt,0.28,0.43,0.18,0.05,0.05,0.0,0.0,0.03,Hunter Massey,,AGM-2060,2017
AGM,2200,001,Calc for Mechanized Agricult,0.36,0.51,0.08,0.03,0.0,0.0,0.0,0.02,Young Han,,AGM-2200,2017
AGM,2210,001,Land Measurements,0.33,0.26,0.3,0.06,0.04,0.0,0.0,0.02,Charles Privette,,AGM-2210,2017
AGM,4020,001,Irrigation System Design,0.38,0.4,0.2,0.03,0.0,0.0,0.0,0.0,Charles Privette,,AGM-4020,2017
AGM,4100,001,Precision Ag Tech,0.61,0.2,0.13,0.04,0.02,0.0,0.0,0.0,Hunter Massey,,AGM-4100,2017
AGM,4520,001,Mobile Power,0.56,0.37,0.07,0.0,0.0,0.0,0.0,0.0,Ali Koc,,AGM-4520,2017
AGM,4720,001,Capstone,0.5,0.35,0.15,0.0,0.0,0.0,0.0,0.0,John Chastain,,AGM-4720,2017
AGM,4730,002,Selected Topics,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,Young Han,,AGM-4730,2017
